,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
5209,Fr,87,222,0.0,852.0,-2.0,3.1819937303700002e-27,8.171100083700001e-48
5211,Fr,87,223,0.0,1308.0,-1.5,5.9094169278299995e-27,1.8745464897899999e-47
5213,Fr,87,224,0.0,198.0,-1.0,2.0203134796e-27,8.28325243779e-48
5215,Fr,87,225,0.0,234.0,-1.5,5.404338557930001e-27,2.1148729628400002e-47
5218,Fr,87,226,0.0,48.0,1.0,3.58605642629e-28,-2.16293825745e-47
5221,Fr,87,228,0.0,39.0,-2.0,-3.83859561124e-27,3.81318003906e-47
5223,Ra,88,209,0.0,4.7,-2.5,4.368927899635e-27,6.2484882993e-48
5227,Ra,88,211,0.0,13.0,-2.5,4.434588087722e-27,7.3700118402e-48
5257,Ra,88,221,0.0,30.0,-2.5,-9.091410658199999e-28,3.07617885504e-47
5261,Ra,88,223,0.0,988416.0,-1.5,1.368762382429e-27,1.9386335492699999e-47
5268,Ra,88,227,0.0,2532.0,-1.5,-2.040516614396e-27,2.45133002511e-47
5272,Ra,88,229,0.0,240.0,-2.5,2.540544200597e-27,4.790507696130001e-47
5281,Ac,89,227,0.0,687008952.0,-1.5,5.5558620689e-27,2.7237000278999997e-47
5284,Th,90,229,0.0,231632784000.0,-2.5,2.32336050154e-27,6.8893588941e-47
5291,Pa,91,231,84,4.4000000000000004e-08,-2.5,1.0152075234989999e-26,1.1215235409e-47
5294,Pa,91,233,0.0,2332800.0,-1.5,1.71726645766e-26,-4.806529461e-47
5300,U,92,233,0.0,1.6x10*5y,-2.5,2.9799623824099998e-27,5.868772471880999e-47
