nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,-0.220(2),R
,,,,,,,,-0.22(1),
,,,,,,,,-0.216(9),
,,12.4,318 ms,,3/2+,+0.360(11),,,
,,,,,,,,+0.28(5),R
21 Sc 46,,0,83.81 d,,4+,+3.042(8),,,
,,,,,,+3.03(2),,,
,,,,,,,,+0.12(2),
,,,,,,,,+0.119(6),R
21 Sc 47,,0,3.42 d,,7/2-,+5.34(2),,,
,,,,,,,,-0.22(3),R
,,767,247 ns,,3/2+,0.35(5),,,
21 Sc 48,,0,43.7 h,,6+,3.785(12),,,
21 Sc 49,,0,57.2 m,,7/2-,+5.62(3),,,
22 Ti 43,,0,0.50 s,,7/2-,0.85(2),,,
,,3066,560 ns,,19/2-,+7.22(1),,,
,,,,,,,,0.33(8),R
,,,,,,,,0.30(7) st,
22 Ti 44,,1083,2.75 ps,,2+,+1.0(3),,,
22 Ti 45,,0,3.09 h,,7/2-,0.095(2),,,
,,,,,,,,0.015(15),R
,,40,11.3 ns,,5/2-,-0.133(10),,,
,,,,,,-0.08(3),,,
,,329,1.10 ns,,3/2+,+1.1(3),,,
22 Ti 46,,889,5.36 ps,,2+,+0.99(5),,,
,,,,,,+1.0(3),,,
,,,,,,,,-0.21(6),R
,,2010,1.64 ps,,4+,+2.3(7),,,
22 Ti 47,,0,stable,,5/2-,-0.78848(1),,,
,,,,,,,,+0.302(10),R
,,,,,,,,+0.30(2),
,,,,,,,,+0.29(1),
,,159,210 ps,,7/2-,-1.9(6),,,
22 Ti 48,,984,4.29 ps,,2+,+0.78(4),,,
,,,,,,+0.9(4),,,
,,,,,,,,-0.177(8),R
,,2296,1.2 ps,,4+,+2.2(5),,,
22 Ti 49,,0,stable,,7/2-,-1.10417(1),,,
,,,,,,,,0.247(11),R
,,,,,,,,+0.24(1),
,,,,,,,,0.324(3),
22 Ti  50,,1554,1.12 ps,,2+,"+2,89(15)",,,
,,,,,,,,+0.08(16),
,,,,,,,,-0.02(9),
,,3198,0.42 ns,,6+,+9.3(10),,,
22 Ti 52,,1050,3.6 ps,,2+,+1.7(4),,,
,,2318,3.3 ps,,4+,+1.8(6),,,
23 V 46,,802,1.02 ms,,3+,+1.64(3),,,
23 V 48,,0,15.94 d,,4+,2.012 (11),,,
,,308,7.1 ns,,2+,+0.44(2),,,
,,,,,,+0.28(10),,,
23 V 49,,0,330 d,,7/2-,4.47(5),,,
,,153,19.9 ns,,3/2-,+2.37(12),,,
23 V 50,,0,1.5x1017 y,,6+,+3.3456889(14),,,
,,,,,,,,0.21(4),
,,,,,,,,+0.21(4),R
,,,,,,,,0.21(4),
23 V 51,,0,stable,,7/2-,+5.1487057(2),,,
,,,,,,,,-0.043(5),R
,,,,,,,,-0.052(10),
,,,,,,,,-0.033(10),
,,320,0.17 ns,,5/2-,+3.9(3),,,
24 Cr 49,,0,41.9 m,,5/2-,0.476(3),,,
,,4367,1.9 ps,,19/2-,+7.4(11),,,
24 Cr 50,,783,9.2 ps,,2+,+1.24(6),,,
,,,,,,+1.3(2),,,
,,,,,,+1.2(2),,,
,,,,,,+0.9(3),,,
,,,,,,,,-0.36(7),R
,,1881,2.2 ps,,4+,+3.1(5),,,
,,,,,,+1.7(4),,,
,,3164,1.2 ps,,6+,+3(1),,,
,,4743,<2.7 ps,,8+,+4.3(7),,,
24 Cr 51,,0,27.7 d,,7/2-,-0.934(5),,,
,,749,7.25 ns,,3/2-,-0.86(12),,,
24 Cr 52,,1434,0.707 ps,,2+,+2.41(13),,,
,,,,,,+3.0(5),,,
,,,,,,+3.2(22),,,
,,,,,,,,-0.08(2),R
24 Cr 53,,0,stable,,3/2-,-0.47454(3),,,
,,,,,,,,-0.15(5) st,R
,,,,,,,,+0.04(7),
,,,,,,,,-0.028(4) st,
24 Cr 54,,835,8.0 ps,,2+,+1.68(11),,,
,,,,,,+1.1(2),,,
,,,,,,+1.1(3),,,
,,,,,,,,-0.21(8),R
25 Mn 50,,229,1.75 m,,5+,+2.76(1),,,
,,,,,,,,+0.83(12),
,,,,,,,,+0.80(12),
25 Mn 51,,0,stable,,5/2-,3.5683(13),,,
,,,,,,,,0.41(8),
,,,,,,,,0.42(7) st,
,,0,5.80 d,,6+,+3.0622(12),,,
,,,,,,+3.0632(13),,,
25 Mn 52,,,,,,,,+0.50(7) st,R
,,378,21.1 m,,2+,0.00768(8),,,
25 Mn 53,,0,3.7x106 y,,7/2-,5.035(1),,,
,,,,,,5.024(7),,,
,,,,,,,,+0.17(3),R
,,,,,,,,+0.16(3),
,,378,117 ps,,5/2-,+3.3(3),,,
25 Mn 54,,0,312 d,,3+,3.306(1),,,
,,,,,,+3.2819(13),,,
,,,,,,,,+0.37(3),R
,,,,,,,,+0.33(3) st,
25 Mn 55,,0,stable,,5/2-,3.4532(13),,,
,,,,,,+3.46871790(9),,,
,,,,,,,,+0.330(10),R
,,,,,,,,+0.31(2) st,
25 Mn 56,,0,2.58 h,,3+,+3.2266(2),,,
,,,,,,,,+0.48(15),R
